nser,dim,sigma,prob_nbit,setup,computing,proving,verifying,comm,l1,l2
2,16,1.0,20,0.0183561,7.33141,51.5528,28.7226,7966016,13,4.58257569495584
2,16,4.0,20,0.00736428,11.5676,78.413,43.4812,12135680,52,18.16590212458495
2,16,16.0,20,0.00565973,18.4788,120.241,67.6213,19064000,346,97.84681905918046
2,16,64.0,20,0.00735411,24.0825,155.078,87.3707,24647168,1042,324.6998614105032
2,64,1.0,20,0.0340072,44.6597,293.987,43.2824,11954144,57,10.535653752852738
2,64,4.0,20,0.0199454,62.9244,399.306,58.3924,16186368,306,46.49731175025068
2,64,16.0,20,0.0423253,108.044,661.121,97.6769,27239552,1091,180.35797736723487
2,64,64.0,20,0.0346182,98.5989,596.522,88.4066,24653312,4092,684.2470314148246
2,256,1.0,20,0.111099,159.797,1042.98,39.1261,10651392,280,22.847319317591726
2,256,4.0,20,0.115544,316.741,1997.18,74.2007,20255488,1241,97.72921773962995
2,256,16.0,20,0.118713,391.544,2402.59,89.5815,24540992,4661,366.8773637061845
2,256,64.0,20,0.118142,446.107,2706.48,101.309,27758528,19091,1520.2108406402053
2,1024,1.0,20,0.414765,1044.6,6873.32,67.8313,17386336,1126,46.45427859734774
2,1024,4.0,20,0.417103,2037.01,12904.7,126.212,32487424,4752,186.52613757862463
2,1024,16.0,20,0.416808,2448.02,15196,148.087,38254976,19537,758.0982785892605
2,1024,64.0,20,0.416497,2589.74,15920.1,156.35,40179392,74570,2944.3637682867925
2,16,1.0,20,0.0186505,4.90591,34.3551,19.1918,5311360,19,5.744562646538029
2,16,4.0,20,0.0192875,17.3425,117.058,65.1322,18202496,73,25.0
2,16,16.0,20,0.0195321,13.247,86.433,48.5117,13617728,265,76.64854858377946
2,16,64.0,20,0.0198376,15.0999,96.7994,54.7032,15405248,1321,461.7629261861545
2,64,1.0,20,0.0423227,49.614,326.657,48.0551,13281472,65,10.723805294763608
2,64,4.0,20,0.0417419,47.4611,300.636,43.9922,12141824,317,47.90615826801394
2,64,16.0,20,0.0326116,75.7106,464.52,68.4764,19070144,1004,158.8584275384847
2,64,64.0,20,0.041626,73.9055,448.206,66.2697,18492032,4447,763.3000720555449
2,256,1.0,20,0.116801,239.467,1563.56,58.6585,15960704,286,23.57965224510319
2,256,4.0,20,0.118121,316.921,1998.92,74.3127,20255488,1178,93.6162379077476
2,256,16.0,20,0.117649,439.014,2699.29,103.333,27264128,4409,346.8645268689204
2,256,64.0,20,0.117678,545.096,3302.31,123.716,33919808,18938,1485.9313577685882
2,1024,1.0,20,0.416224,1043.96,6872.3,68.3782,17386336,1088,44.9221548904324
2,1024,4.0,20,0.419059,1655.55,10485,102.663,26420608,4389,170.6663411455229
2,1024,16.0,20,0.41759,1748.72,10845.3,105.712,27362432,18298,723.3546847847189
2,1024,64.0,20,0.415199,1991.59,12229.1,120.017,30937472,77518,3035.680483845426
2,16,1.0,20,0.020036,6.10628,42.8828,23.9223,6638688,20,6.48074069840786
2,16,4.0,20,0.0199727,11.584,78.254,43.4984,12135680,86,25.612496949731394
2,16,16.0,20,0.0190432,18.5346,120.508,67.7832,19064000,265,83.64807230295268
2,16,64.0,20,0.0198882,15.0998,97.1071,54.7497,15405248,1100,322.7289884717516
2,64,1.0,20,0.0419826,34.7995,228.922,33.6963,9299488,67,11.269427669584644
2,64,4.0,20,0.0428804,78.6958,499.482,72.9815,20230912,344,49.91993589739474
2,64,16.0,20,0.0426409,86.5162,531.149,78.3078,21793280,1170,194.47879061738325
2,64,64.0,20,0.0421896,98.4994,595.628,88.3061,24653312,4302,661.3002343867723
2,256,1.0,20,0.116324,199.735,1306.45,48.9314,13306048,304,24.24871130596428
2,256,4.0,20,0.117215,316.764,1998.02,74.2749,20255488,1169,92.96773633901172
2,256,16.0,20,0.117904,521.629,3202.02,119.435,32710400,4480,354.3585754571208
2,256,64.0,20,0.117831,346.927,2104.53,78.7881,21597248,19242,1482.6543764478624
2,1024,1.0,20,0.416462,883.255,5808.36,57.604,14731680,1125,45.83666654546336
2,1024,4.0,20,0.399938,1656.12,10494,102.598,26420608,4548,179.12007146045917
2,1024,16.0,20,0.416122,2099.66,13019.6,126.924,32808704,18515,723.5488926119644
2,1024,64.0,20,0.415388,3186.95,19577,192.135,49421312,69269,2741.8163687599504
2,16,1.0,20,0.0184497,7.33652,51.6218,28.7406,7966016,20,7.3484692283495345
2,16,4.0,20,0.0185081,15.415,104.034,57.9476,16180224,76,20.92844953645635
2,16,16.0,20,0.0184088,21.1611,137.554,77.4502,21787136,290,87.61278445523804
2,16,64.0,20,0.0187666,15.0947,97.1385,54.7964,15405248,1075,325.67007845364
2,64,1.0,20,0.0441766,39.7582,261.57,38.4604,10626816,83,12.206555615733702
2,64,4.0,20,0.0439173,47.295,298.897,43.7956,12141824,259,39.433488306260706
2,64,16.0,20,0.0329101,86.4755,530.591,78.2333,21793280,1225,178.7316424139833
2,64,64.0,20,0.042047,86.2536,521.727,77.3169,21572672,4633,732.8212606086153
2,256,1.0,20,0.116881,219.761,1440.03,53.9029,14633376,254,21.540659228538015
2,256,4.0,20,0.1168,316.659,1997.08,74.2088,20255488,1155,88.92131353055915
2,256,16.0,20,0.117955,435.023,2665.5,99.5188,27264128,4850,381.74598884598646
2,256,64.0,20,0.115842,544.884,3301.58,123.723,33919808,18234,1443.021829356715
2,1024,1.0,20,0.415724,963.394,6338.64,62.4989,16059008,1073,44.23799272118933
2,1024,4.0,20,0.416592,1274.18,8069.04,78.9812,20353792,4628,181.09665927343883
2,1024,16.0,20,0.409266,2098.82,13011.4,126.736,32808704,18761,727.394665913904
2,1024,64.0,20,0.415723,1792.86,11024.3,108.3,27856832,75157,2918.7228371327074
2,16,1.0,20,0.0188644,8.53652,59.7596,33.4161,9293344,21,6.4031242374328485
2,16,4.0,20,0.0201347,11.6172,78.2442,43.5448,12135680,37,11.180339887498949
2,16,16.0,20,0.0182439,13.3228,86.8527,48.6629,13617728,206,64.35837163881635
